 26 AV TAU    05 45 37.78 +27 01 20.2 11.744 0.013 10.920 0.012 10.780 0.021 21 21 21 11.780 10.986 10.715                      
 29 AV TAU    05 46 07.65 +27 02 11.0 11.319 0.009 11.193 0.010 11.238 0.020 22 22 22 11.268 11.195 11.138                      
 30 AV TAU    05 45 47.10 +27 06 48.5 11.800 0.012 11.300 0.009 11.295 0.035 22 22 22 11.817 11.323 11.238                      
 31 AV TAU    05 45 53.77 +27 04 40.3 11.670 0.007 11.389 0.010 11.422 0.026 22 22 22 11.673 11.404 11.326                      
 32 AV TAU    05 46 12.27 +27 03 25.8 11.767 0.009 11.435 0.010 11.466 0.034 21 21 21 11.774 11.469 11.372                      
 34 AV TAU    05 45 47.74 +27 07 40.1 12.329 0.016 11.641 0.011 11.494 0.022 22 22 22 12.392 11.691 11.470                      
 35 AV TAU    05 45 56.90 +26 58 33.2 12.133 0.018 11.299 0.013 11.196 0.027 20 20 21 12.074 11.278 11.044                      
  1 AW PER    04 47 46.32 +36 43 22.1  5.225 0.018  4.821 0.016  4.695 0.015 24 24 24  5.100  4.792  4.630 Ceph AW PER          
  2 AW PER    04 47 44.89 +36 40 59.6  6.664 0.004  5.756 0.005  5.563 0.007 24 24 24  6.676  5.794  5.501                      
  8 AX AUR    05 47 00.43 +31 34 57.7  8.726 0.002  8.476 0.003  8.434 0.006 18 18 18  8.771  8.511  8.449 HD 247398            
 16 AX AUR    05 47 11.92 +31 31 19.1  9.893 0.004  9.328 0.005  9.243 0.006 18 18 18  9.903  9.367  9.229                      
 21 AX AUR    05 46 50.81 +31 35 52.4  9.936 0.018  9.479 0.016  9.320 0.015 18 18 18 10.012  9.528  9.353 Ceph AX AUR          
 22 AX AUR    05 46 54.14 +31 38 03.7  9.840 0.003  9.644 0.004  9.577 0.006 18 18 18  9.865  9.722  9.617 HD 247377            
 25 AX AUR    05 47 02.46 +31 36 50.9 10.685 0.005  9.892 0.005  9.716 0.009 18 18 18 10.735  9.893  9.668                      
 30 AX AUR    05 47 01.99 +31 34 34.3 11.102 0.006 10.348 0.005 10.209 0.009 18 18 18 11.149 10.407 10.177                      
 31 AX AUR    05 46 47.41 +31 32 05.3 10.187 0.004  9.426 0.008  9.305 0.013 17 17 17 10.245  9.497  9.274                      
 32 AX AUR    05 46 44.31 +31 36 10.0 10.915 0.005 10.582 0.007 10.566 0.018 18 18 18 10.947 10.623 10.530                      
 36 AX AUR    05 46 53.90 +31 33 19.2 11.554 0.010 10.976 0.008 10.918 0.019 18 18 18 11.631 11.047 10.884                      
 38 AX AUR    05 47 17.30 +31 31 12.9 11.707 0.008 11.053 0.011 10.942 0.014 18 18 18 11.717 11.082 10.910                      
 39 AX AUR    05 46 56.10 +31 35 41.6 11.690 0.008 11.182 0.008 11.105 0.029 18 18 18 11.704 11.185 11.056                      
 42 AX AUR    05 46 56.38 +31 34 54.2 11.396 0.007 11.255 0.010 11.241 0.022 18 18 18 11.379 11.252 11.153                      
 45 AX AUR    05 47 12.85 +31 34 31.2 11.988 0.009 11.320 0.009 11.209 0.020 18 18 18 11.999 11.354 11.164                      
 52 AX AUR    05 47 01.16 +31 30 23.7 11.414 0.007 11.296 0.012 11.298 0.024 17 17 17 11.370 11.301 11.230                      
 55 AX AUR    05 46 56.15 +31 34 02.3 12.041 0.010 11.734 0.013 11.724 0.031 18 17 16 12.053 11.790 11.718                      
  1 AY SGR    18 23 19.15 -18 34 29.2  7.122 0.018  6.518 0.016  6.299 0.015 25 25 25  7.158  6.536  6.233 Ceph AY SGR          
  2 AY SGR    18 23 41.67 -18 39 20.9  8.329 0.016  7.045 0.014  6.463 0.012 22 22 22  8.693  7.306  6.606 unclassified variable
  3 AY SGR    18 23 07.82 -18 33 12.5  8.981 0.005  7.643 0.004  7.113 0.011 25 25 25  9.146  7.719  7.080                      
  5 AY SGR    18 23 23.22 -18 36 02.3  9.322 0.007  7.854 0.005  7.219 0.005 25 25 25  9.425  7.939  7.182                      
  6 AY SGR    18 23 20.85 -18 33 58.1  9.299 0.003  7.913 0.004  7.352 0.004 25 25 25  9.315  7.922  7.244                      
  7 AY SGR    18 23 34.68 -18 36 07.3  9.261 0.006  7.943 0.006  7.513 0.008 25 25 25  9.312  8.001  7.415                      
  8 AY SGR    18 23 43.05 -18 33 02.8  9.283 0.004  7.939 0.006  7.446 0.021 24 24 24  9.312  7.995  7.391                      
  9 AY SGR    18 23 42.63 -18 33 23.1  9.230 0.006  7.982 0.004  7.491 0.020 24 24 24  9.294  8.077  7.456                      
 10 AY SGR    18 23 21.75 -18 35 14.9  9.545 0.005  8.191 0.003  7.630 0.006 25 25 25  9.604  8.235  7.541                      
 11 AY SGR    18 23 28.43 -18 31 28.2  8.899 0.003  8.235 0.004  8.000 0.013 25 25 25  8.934  8.269  8.004                      
 12 AY SGR    18 23 36.29 -18 32 49.8  9.594 0.009  8.298 0.009  7.737 0.016 25 25 25  9.586  8.220  7.650                      
 17 AY SGR    18 23 23.34 -18 29 16.3  9.775 0.006  8.450 0.005  7.959 0.015 25 25 25  9.791  8.461  7.975                      
 21 AY SGR    18 23 34.67 -18 32 58.5 10.004 0.005  8.641 0.005  8.040 0.015 25 25 25 10.011  8.653  7.992                      
 24 AY SGR    18 23 43.65 -18 31 45.3  9.349 0.004  8.736 0.006  8.547 0.032 24 24 24  9.344  8.728  8.596                      
 25 AY SGR    18 23 20.49 -18 38 23.6 10.043 0.005  8.805 0.005  8.423 0.014 25 25 25 10.091  8.856  8.389                      
 28 AY SGR    18 23 29.58 -18 36 11.4 10.020 0.004  8.910 0.004  8.606 0.006 25 25 25 10.055  8.932  8.540                      
