8 1001 54662.863   7.775 0.017 46 AKCep
6 1001 54663.908   8.319 0.014 46 AKCep
7 1001 54663.908   7.854 0.013 46 AKCep
8 1001 54663.908   7.719 0.017 46 AKCep
6 1001 54724.854   8.452 0.014 46 AKCep
7 1001 54724.854   7.854 0.013 46 AKCep
8 1001 54724.854   7.710 0.017 46 AKCep
6 1001 54725.758   8.525 0.014 46 AKCep
7 1001 54725.758   7.947 0.013 46 AKCep
8 1001 54725.758   7.791 0.017 46 AKCep
6 1001 54726.828   8.535 0.014 46 AKCep
7 1001 54726.828   7.994 0.013 46 AKCep
8 1001 54726.828   7.836 0.017 46 AKCep
6 1001 54729.863   8.331 0.014 46 AKCep
7 1001 54729.863   7.809 0.013 46 AKCep
8 1001 54729.863   7.661 0.017 46 AKCep
6 1001 54731.846   8.415 0.014 46 AKCep
7 1001 54731.846   7.852 0.013 46 AKCep
8 1001 54731.846   7.681 0.017 46 AKCep
6 1001 54734.767   8.444 0.014 46 AKCep
7 1001 54734.767   7.972 0.013 46 AKCep
8 1001 54734.767   7.833 0.017 46 AKCep
6 1001 54737.687   8.337 0.014 46 AKCep
7 1001 54737.687   7.808 0.013 46 AKCep
8 1001 54737.687   7.676 0.017 46 AKCep
6 1001 54739.892   8.459 0.014 46 AKCep
7 1001 54739.892   7.894 0.013 46 AKCep
8 1001 54739.892   7.740 0.017 46 AKCep
6 1001 54740.719   8.544 0.015 46 AKCep
7 1001 54740.719   7.998 0.013 46 AKCep
8 1001 54740.719   7.842 0.017 46 AKCep
6 1001 54746.759   8.438 0.014 46 AKCep
7 1001 54746.759   7.875 0.013 46 AKCep
8 1001 54746.759   7.722 0.017 46 AKCep
6 1001 54757.689   8.321 0.014 46 AKCep
7 1001 54757.689   7.855 0.013 46 AKCep
8 1001 54757.689   7.712 0.017 46 AKCep
6 1001 54762.658   8.562 0.015 46 AKCep
7 1001 54762.658   8.026 0.013 46 AKCep
8 1001 54762.658   7.872 0.017 46 AKCep
6 1001 54765.754   8.329 0.014 46 AKCep
7 1001 54765.754   7.814 0.013 46 AKCep
8 1001 54765.754   7.665 0.017 46 AKCep
6 1001 54767.752   8.400 0.014 46 AKCep
7 1001 54767.752   7.835 0.013 46 AKCep
8 1001 54767.752   7.708 0.017 46 AKCep
6 1001 54488.613   7.899 0.015 271 ANAur
7 1001 54488.613   7.416 0.014 271 ANAur
8 1001 54488.613   7.219 0.031 271 ANAur
6 1001 54489.612   7.790 0.015 271 ANAur
7 1001 54489.612   7.329 0.014 271 ANAur
8 1001 54489.612   7.166 0.031 271 ANAur
6 1001 54492.634   7.950 0.015 271 ANAur
7 1001 54492.634   7.412 0.014 271 ANAur
8 1001 54492.634   7.267 0.032 271 ANAur
6 1001 54515.636   8.083 0.015 271 ANAur
7 1001 54515.636   7.552 0.014 271 ANAur
8 1001 54515.636   7.322 0.033 271 ANAur
6 1001 54515.654   8.119 0.015 271 ANAur
