AV TAU    2454737.953 0.61  9.216 0.016  8.593 0.015  8.429 0.019 0
AV TAU    2454738.930 0.88  9.358 0.016  8.749 0.015  8.598 0.019 0
AV TAU    2454748.928 0.64  9.256 0.016  8.645 0.015  8.468 0.019 0
AV TAU    2454753.905 0.02  9.234 0.016  8.708 0.015  8.531 0.019 0
AV TAU    2454757.847 0.11  9.064 0.016  8.579 0.015  8.340 0.019 0
AV TAU    2454762.775 0.47  9.169 0.016  8.631 0.015  8.408 0.019 0
AV TAU    2454763.782 0.75  9.307 0.016  8.738 0.015  8.530 0.019 0
AV TAU    2454765.806 0.31  9.113 0.016  8.560 0.015  8.363 0.019 0
AV TAU    2454768.001 0.92  9.385 0.017  8.808 0.015  8.617 0.020 0
AV TAU    2454769.032 0.20  9.075 0.016  8.570 0.015  8.366 0.019 0
AW PER    2454480.729 0.23  5.128 0.013  4.735 0.012  4.628 0.015 0
AW PER    2454482.854 0.56  5.305 0.013  4.840 0.012  4.721 0.015 0
AW PER    2454487.874 0.33  5.172 0.013  4.763 0.012  4.640 0.015 0
AW PER    2454488.576 0.44  5.237 0.013  4.792 0.012  4.677 0.015 0
AW PER    2454489.593 0.60  5.300 0.013  4.819 0.012  4.700 0.015 0
AW PER    2454492.616 0.07  5.125 0.013  4.775 0.012  4.669 0.015 0
AW PER    2454515.797 0.65  5.349 0.013  4.880 0.012  4.736 0.015 0
AW PER    2454516.610 0.78  5.423 0.013  4.989 0.012  4.843 0.015 0
AW PER    2454520.684 0.41  5.203 0.013  4.782 0.012  4.676 0.015 0
AW PER    2454725.889 0.16  5.103 0.013  4.749 0.012  4.633 0.015 0
AW PER    2454735.916 0.71  5.406 0.013  4.928 0.012  4.782 0.015 0
AW PER    2454737.816 0.00  5.130 0.013  4.795 0.012  4.654 0.015 0
AW PER    2454738.900 0.17  5.110 0.013  4.748 0.012  4.606 0.015 0
AW PER    2454740.880 0.48  5.223 0.013  4.795 0.012  4.637 0.015 0
AW PER    2454749.028 0.74  5.405 0.013  4.934 0.012  4.787 0.015 0
AW PER    2454754.787 0.63  5.327 0.013  4.871 0.012  4.705 0.015 0
AW PER    2454755.949 0.81  5.423 0.013  5.006 0.012  4.856 0.015 0
AW PER    2454756.920 0.96  5.140 0.013  4.799 0.012  4.684 0.015 0
AW PER    2454757.864 0.10  5.094 0.013  4.756 0.012  4.666 0.015 0
AW PER    2454758.967 0.28  5.114 0.013  4.700 0.012  4.595 0.015 0
AW PER    2454762.786 0.87  5.345 0.013  4.931 0.012  4.813 0.015 0
AW PER    2454763.753 0.02  5.085 0.013  4.766 0.012  4.667 0.015 0
AW PER    2454766.006 0.36  5.145 0.013  4.748 0.012  4.623 0.015 0
AW PER    2454766.950 0.51  5.257 0.013  4.831 0.012  4.675 0.015 0
AX AUR    2454488.681 0.99 10.058 0.018  9.544 0.017  9.357 0.024 0
AX AUR    2454489.712 0.33  9.853 0.017  9.435 0.017  9.271 0.023 0
AX AUR    2454490.720 0.66  9.929 0.018  9.445 0.017  9.285 0.023 0
AX AUR    2454492.695 0.31  9.852 0.017  9.460 0.017  9.315 0.023 0
AX AUR    2454515.845 0.91 10.061 0.018  9.556 0.017  9.389 0.024 0
AX AUR    2454520.809 0.54  9.866 0.017  9.413 0.017  9.262 0.023 0
AX AUR    2454544.761 0.40  9.857 0.017  9.406 0.016  9.264 0.023 0
AX AUR    2454734.959 0.83  9.985 0.018  9.489 0.017  9.315 0.023 0
AX AUR    2454735.948 0.15  9.972 0.018  9.532 0.017  9.385 0.024 0
AX AUR    2454740.938 0.79  9.959 0.018  9.466 0.017  9.304 0.023 0
AX AUR    2454746.873 0.74  9.942 0.018  9.447 0.017  9.308 0.023 0
AX AUR    2454747.865 0.06 10.048 0.018  9.578 0.017  9.366 0.024 0
AX AUR    2454749.016 0.44  9.855 0.017  9.421 0.017  9.319 0.023 0
AX AUR    2454758.982 0.71  9.937 0.018  9.455 0.017  9.310 0.023 0
AX AUR    2454762.765 0.95 10.035 0.018  9.574 0.017  9.406 0.024 0
AX AUR    2454763.762 0.28  9.834 0.017  9.447 0.017  9.292 0.023 0
AX AUR    2454765.984 0.01 10.048 0.018  9.577 0.017  9.387 0.024 0
AX AUR    2454767.775 0.60  9.904 0.017  9.430 0.017  9.278 0.023 0
AY SGR    2454574.984 0.57  7.185 0.015  6.528 0.013  6.280 0.016 0
AY SGR    2454577.975 0.03  7.012 0.015  6.492 0.013  6.263 0.016 0
AY SGR    2454584.974 0.09  7.002 0.015  6.477 0.013  6.249 0.016 0
AY SGR    2454586.932 0.39  7.053 0.015  6.440 0.013  6.209 0.016 0
AY SGR    2454611.913 0.19  7.003 0.015  6.427 0.013  6.205 0.016 0
AY SGR    2454616.908 0.95  7.138 0.015  6.565 0.013  6.367 0.016 0
AY SGR    2454619.905 0.41  7.058 0.015  6.435 0.013  6.228 0.016 0
AY SGR    2454624.860 0.16  6.997 0.015  6.427 0.013  6.232 0.016 0
AY SGR    2454629.835 0.92  7.197 0.015  6.618 0.013  6.398 0.017 0
