EU CYG    19 51 17.3 +32 40 32  14.38 13.68  CEP       14.991176
EX CYG    19 54 23.4 +31 13 37  13.43 12.64  DCEP       4.8507928
EZ CYG    19 57 49.0 +30 15 57  13.4  11.7   DCEP      11.659717
GH CYG    19 59 10.8 +29 27 03  10.33  9.50  DCEP       7.817930
GI CYG    19 59 33.7 +33 44 47  12.03 11.43  DCEP       5.782550
GL CYG    20 03 34.7 +39 09 34  14.04 13.28  CEP        3.370693
IU CYG    19 50 08.2 +34 09 57  14.08 12.95  CW:       31.31451
IY CYG    19 55 33.8 +31 45 50  13.89 12.49  CEP       21.75257
KX CYG    20 24 19.4 +40 33 40  15.0  13.2   DCEP      20.0467
MW CYG    20 12 22.8 +32 52 18   9.90  9.14  DCEP       5.954586
MZ CYG    21 21 54.7 +37 27 33  12.68 10.76  CWA:      21.314
QY CYG    19 58 51.5 +37 38 49  15.09 14.05  CWB:       3.89188
V343 CYG  20 04 04.5 +39 06 15  14.06 13.15  CWA       11.9275
V347 CYG  20 51 26.7 +46 07 16  14.7  13.7   DCEP       8.7362
V356 CYG  21 07 46.7 +46 44 14  14.2  13.1   DCEP       5.05761
V383 CYG  20 28 58.2 +34 08 06  11.14 10.60  CWB:       4.612211
V386 CYG  21 14 40.4 +41 42 59   9.97  9.25  DCEP       5.257606
V396 CYG  20 16 12.7 +42 06 32  14.6  12.6   DCEP      33.247
V402 CYG  20 09 07.8 +37 09 07  10.22  9.53  DCEP       4.364836
V438 CYG  20 18 54.3 +40 03 52  13.5  12.0   DCEP      11.211058
V459 CYG  21 10 54.4 +49 08 31  10.99 10.27  DCEP       7.25125
V492 CYG  20 11 13.6 +35 24 49  14.4  13.6   DCEP       7.58017
V495 CYG  20 15 58.3 +35 00 53  12.7  12.2   DCEP       6.72379
V514 CYG  20 46 12.5 +45 28 43  13.2  12.4   DCEP       5.09891
V520 CYG  20 54 57.5 +47 32 02  11.11 10.53  DCEP       4.049068
V532 CYG  21 20 32.9 +45 28 03   9.30  8.85  DCEPS      3.283612
V538 CYG  21 37 28.1 +51 45 45  10.73 10.20  DCEP       6.118961
V547 CYG  19 57 46.1 +35 38 10  13.84 12.88  DCEP       6.22541
V554 CYG  20 07 21.2 +40 10 41  15.7  14.6   DCEP       4.3278146
V609 CYG  21 26 56.0 +54 29 29  13.6  12.2   DCEP      31.072
V621 CYG  21 32 40.4 +49 12 45  14.0  12.3   DCEP       5.86400
V924 CYG  19 38 11.6 +32 29 22  10.85 10.56  DCEPS      5.571472
V1020CYG  19 59 09.1 +32 41 44  16.2  14.9   DCEP       4.919964
V1025CYG  20 00 46.4 +30 54 28  15.14 14.00  DCEP       6.96176
V1033CYG  20 05 20.7 +32 39 32  15.5  14.4   CEP        4.937512
V1046CYG  20 16 47.5 +36 33 00  15.1  14.2   CEP        4.9445
V1154CYG  19 48 15.5 +43 07 37   9.37  8.95  CEP        4.925537
V1334CYG  21 19 22.2 +38 14 15   5.96  5.77  DCEPS      3.332816
V1336CYG  21 23 48.5 +45 29 23  16.0  15.1   CEP:      31.77      :
V1364CYG  20 07 29.5 +35 20 47  17.0  14.8   DCEP      12.9764
V1467CYG  20 04 02.2 +32 27 03  16.8  15.1   DCEP      48.6
V1726CYG  21 29 38.9 +48 58 09   9.06  8.87  DCEPS      4.2359
V2201CYG  21 04 16.9 +49 44 40  14.5  13.4   DCEP
TX DEL    20 50 12.7 +03 39 08   9.54  8.84  CWB:       6.165907
BX DEL    20 21 19.0 +18 26 16  12.57 11.79  CWB:       1.0917795
BET DOR   05 33 37.5 -62 29 23   4.08  3.46  DCEP       9.8426
W GEM     06 34 57.5 +15 19 50   7.38  6.54  DCEP       7.913779
RZ GEM    06 02 36.6 +22 14 03  10.46  9.49  DCEP       5.529286
AA GEM    06 06 34.9 +26 19 45  10.11  9.36  DCEP      11.30235
DX GEM    06 33 54.6 +14 28 17  10.92 10.53  DCEPS      3.137486
DZETAGEM  07 04 06.5 +20 34 13   4.18  3.62  DCEP      10.15073
